day,num_products_outlier,share_of_all_products
2025-12-02,8,0.34782608695652173
2025-12-07,8,0.34782608695652173
2026-02-10,8,0.34782608695652173
2026-01-06,6,0.2608695652173913
2026-02-20,6,0.2608695652173913
2025-12-17,6,0.2608695652173913
2025-11-02,5,0.21739130434782608
2025-11-22,5,0.21739130434782608
2025-11-27,5,0.21739130434782608
2026-02-15,4,0.17391304347826086
2026-02-05,4,0.17391304347826086
2026-01-11,4,0.17391304347826086
2026-02-25,4,0.17391304347826086
2025-12-27,3,0.13043478260869565
2026-01-16,3,0.13043478260869565
2026-01-21,3,0.13043478260869565
2026-01-26,3,0.13043478260869565
2025-12-12,3,0.13043478260869565
2026-01-01,3,0.13043478260869565
2025-11-07,2,0.08695652173913043
2026-01-31,2,0.08695652173913043
2025-12-22,2,0.08695652173913043
2025-11-17,2,0.08695652173913043
2025-11-12,2,0.08695652173913043
