date,holtwinters_forecast
2026-03-28,71.48000659477734
2026-03-29,71.48000199601077
2026-03-30,71.47999924927659
2026-03-31,71.47999460360573
2026-04-01,71.86249316871697
2026-04-02,71.86249682884377
2026-04-03,71.86249814671969
2026-04-04,71.86250365894279
2026-04-05,71.86250916928698
2026-04-06,71.97417566254254
2026-04-07,71.97417443660986
2026-04-08,71.97417703332711
2026-04-09,71.97418201713728
2026-04-10,71.9741838049937
2026-04-11,71.92835603998358
2026-04-12,71.9283466532693
2026-04-13,71.92834698267168
2026-04-14,71.92835083614644
2026-04-15,71.9283531733595
2026-04-16,71.08252618099182
2026-04-17,71.08253149854713
2026-04-18,71.08254194195031
2026-04-19,71.08254761643484
2026-04-20,71.08255859495627
2026-04-21,70.96671240065858
2026-04-22,70.96671562960078
2026-04-23,70.96672272837499
2026-04-24,70.96672204816461
2026-04-25,70.96672077557281
2026-04-26,71.542558255319
